,id_x,user_x,card,status_x,id_y,user_y,status_y
0,74.0,1.0,1,True,23.0,2.0,True
1,74.0,1.0,1,True,816.0,32.0,True
2,1915.0,89.0,1,True,23.0,2.0,True
3,1915.0,89.0,1,True,816.0,32.0,True
4,73.0,1.0,2,False,24.0,2.0,True
5,73.0,1.0,2,False,601.0,22.0,True
6,73.0,1.0,2,False,736.0,90.0,True
7,73.0,1.0,2,False,785.0,28.0,True
8,285.0,75.0,2,True,24.0,2.0,True
9,285.0,75.0,2,True,601.0,22.0,True
10,285.0,75.0,2,True,736.0,90.0,True
11,285.0,75.0,2,True,785.0,28.0,True
12,545.0,5.0,2,True,24.0,2.0,True
13,545.0,5.0,2,True,601.0,22.0,True
14,545.0,5.0,2,True,736.0,90.0,True
15,545.0,5.0,2,True,785.0,28.0,True
16,702.0,13.0,2,True,24.0,2.0,True
17,702.0,13.0,2,True,601.0,22.0,True
18,702.0,13.0,2,True,736.0,90.0,True
19,702.0,13.0,2,True,785.0,28.0,True
20,803.0,76.0,2,True,24.0,2.0,True
21,803.0,76.0,2,True,601.0,22.0,True
22,803.0,76.0,2,True,736.0,90.0,True
23,803.0,76.0,2,True,785.0,28.0,True
24,1142.0,51.0,2,True,24.0,2.0,True
25,1142.0,51.0,2,True,601.0,22.0,True
26,1142.0,51.0,2,True,736.0,90.0,True
27,1142.0,51.0,2,True,785.0,28.0,True
28,1182.0,71.0,2,True,24.0,2.0,True
29,1182.0,71.0,2,True,601.0,22.0,True
30,1182.0,71.0,2,True,736.0,90.0,True
31,1182.0,71.0,2,True,785.0,28.0,True
32,1439.0,87.0,2,True,24.0,2.0,True
33,1439.0,87.0,2,True,601.0,22.0,True
34,1439.0,87.0,2,True,736.0,90.0,True
35,1439.0,87.0,2,True,785.0,28.0,True
36,1465.0,42.0,2,True,24.0,2.0,True
37,1465.0,42.0,2,True,601.0,22.0,True
38,1465.0,42.0,2,True,736.0,90.0,True
39,1465.0,42.0,2,True,785.0,28.0,True
40,456.0,15.0,3,True,15.0,2.0,True
41,456.0,15.0,3,True,397.0,65.0,True
42,456.0,15.0,3,True,446.0,37.0,True
43,456.0,15.0,3,True,865.0,89.0,True
44,479.0,11.0,3,True,15.0,2.0,True
45,479.0,11.0,3,True,397.0,65.0,True
46,479.0,11.0,3,True,446.0,37.0,True
47,479.0,11.0,3,True,865.0,89.0,True
48,711.0,71.0,3,True,15.0,2.0,True
49,711.0,71.0,3,True,397.0,65.0,True
50,711.0,71.0,3,True,446.0,37.0,True
51,711.0,71.0,3,True,865.0,89.0,True
52,1059.0,20.0,3,True,15.0,2.0,True
53,1059.0,20.0,3,True,397.0,65.0,True
54,1059.0,20.0,3,True,446.0,37.0,True
55,1059.0,20.0,3,True,865.0,89.0,True
56,1214.0,26.0,3,True,15.0,2.0,True
57,1214.0,26.0,3,True,397.0,65.0,True
58,1214.0,26.0,3,True,446.0,37.0,True
59,1214.0,26.0,3,True,865.0,89.0,True
60,1313.0,44.0,3,True,15.0,2.0,True
61,1313.0,44.0,3,True,397.0,65.0,True
62,1313.0,44.0,3,True,446.0,37.0,True
63,1313.0,44.0,3,True,865.0,89.0,True
64,1322.0,98.0,3,True,15.0,2.0,True
65,1322.0,98.0,3,True,397.0,65.0,True
66,1322.0,98.0,3,True,446.0,37.0,True
67,1322.0,98.0,3,True,865.0,89.0,True
68,1913.0,63.0,3,True,15.0,2.0,True
69,1913.0,63.0,3,True,397.0,65.0,True
70,1913.0,63.0,3,True,446.0,37.0,True
71,1913.0,63.0,3,True,865.0,89.0,True
72,123.0,80.0,4,True,26.0,2.0,False
73,147.0,51.0,4,True,26.0,2.0,False
74,842.0,90.0,4,True,26.0,2.0,False
75,1562.0,27.0,4,True,26.0,2.0,False
76,259.0,41.0,5,True,293.0,14.0,True
77,259.0,41.0,5,True,502.0,16.0,True
78,259.0,41.0,5,True,776.0,74.0,True
